asw,s,d,f,g,h,j,k,l
3-5年,本科,杭州,西湖区,天目山路,8,13K,创变网络,Java.Python
经验不限,硕士,杭州,,,35,65K·15薪,某大型企业服务公司,分布式技术.系统集成工程师
3-5年,本科,杭州,萧山区,钱江世纪城,30,50K,上海链杰信息咨询,Java.Hive.Spark.ETL开发经验.大数据开发经验.数仓建设经验
3-5年,本科,杭州,西湖区,学院路,13,20K·13薪,数政科技,Java.Python.C++.计算机相关专业.大数据开发经验.web3
3-5年,本科,杭州,滨江区,长河,11,18K·13薪,紫钺科技,Hadoop.大数据运维.数据治理
3-5年,本科,杭州,滨江区,长河,25,35K·13薪,当贝网络,SQL
5-10年,本科,杭州,余杭区,仓前,28,35K,行云集团,SQL.Kafka.Hadoop.Flink
3-5年,本科,杭州,滨江区,浦沿,20,21K·14薪,浙江中控,Java.数仓建设经验
3-5年,本科,杭州,余杭区,五常,14,21K·16薪,广立微,Java.Python.Spark.Kafka
1-3年,本科,杭州,拱墅区,石祥路,18,23K·14薪,顺丰速运有限公司,大数据.客户现场.出差
3-5年,本科,杭州,,,15,25K·13薪,某知名银行公司,Spark.Hadoop.Kafka.Storm.HDFS.MapReduce.Hbase.Streaming
3-5年,本科,杭州,余杭区,仓前,15,25K,同盾信研科技,Spark.Hadoop
3-5年,本科,杭州,滨江区,长河,14,22K,中控信息,数据架构.数据库.数据处理
3-5年,本科,杭州,拱墅区,西湖,16,25K·13薪,浙江交盟科技有限公司,Java.Spark.Kafka.Hadoop.Yarn.Presto.Streaming.HDFS
1-3年,本科,杭州,西湖区,文新,9,14K,新华智云科技有限公司,大数据开发经验
5-10年,本科,杭州,西湖区,西溪,25,35K·14薪,微盛,Java.SQL.计算机相关专业
经验不限,本科,杭州,余杭区,西溪,15,30K,百数云,Java.Kafka.大数据开发经验.数仓建设经验.ETL开发经验
3-5年,本科,杭州,滨江区,长河,18,35K·14薪,浙江大华,Spark.Storm.Hadoop.Impala.Kylin.Flink.Druid
5-10年,本科,杭州,,,30,60K·15薪,某大型知名银行公司,Java.Scala.Spark.Streaming.Flink.Hbase
3-5年,本科,杭州,拱墅区,万达广场,15,20K·13薪,浙江托普云农,Java.Scala.计算机相关专业.大数据开发经验
经验不限,博士,杭州,余杭区,老余杭,20,35K·15薪,之江实验室,Java.SQL.Shell.ETL开发经验.计算机相关专业.大数据开发经验
经验不限,博士,杭州,,,45,75K·13薪,某500强上市公司,Java.SQL.计算机相关专业
5-10年,大专,杭州,滨江区,长河,25,40K,杭州雅乐信息技术服务,数学/统计相关专业.大数据计算与分析.人工智能
3-5年,本科,杭州,滨江区,长河,25,35K·13薪,当贝网络,Java.Python/Shell.大数据运维经验.Hadoop.CDH.集群运维
3-5年,本科,杭州,,,20,35K,某知名交通公司,SQL.Kafka.Hadoop.Flink
3-5年,本科,杭州,萧山区,新街,15,20K,绿掌科技,大数据开发经验
经验不限,本科,杭州,,,15,25K·13薪,某企业服务公司,大数据开发经验
3-5年,学历不限,杭州,,,20,40K,微医集团,大数据开发经验.数仓建设经验
3-5年,本科,杭州,余杭区,五常,14,21K·16薪,广立微,Shell.Spark.Hadoop.Kafka.HDFS.Java.Yarn.Hbase
1-3年,大专,杭州,萧山区,北干,13,18K,君睿生物,大数据.客户现场.出差
1-3年,本科,杭州,滨江区,长河,15,30K,迪普科技,Kettle/Informatica.Spark.Java
1-3年,本科,杭州,钱塘区,和达东东城,15,20K,杰晞品牌管理,Spark.Java.Flink.计算机相关专业.hbase.kafka
3-5年,本科,杭州,滨江区,长河,11,18K·13薪,紫钺科技,Python.计算机相关专业.大数据开发经验.搭建数据看板.linux.redis
3-5年,本科,杭州,萧山区,奥体中心,11,12K,天地网通,SQL
3-5年,本科,杭州,临平区,临平,15,20K·14薪,浙江春风动力股份...,大数据开发经验
经验不限,博士,杭州,,,30,60K·13薪,某500强上市公司,SQL.Java.Spark.Hadoop.Hbase.Kafka.Flink.Storm
经验不限,本科,杭州,西湖区,文二路,20,30K,微众银行,计算机相关专业.大数据开发经验
3-5年,本科,杭州,西湖区,天目山路,8,13K,创变网络,Java.Python.计算机相关专业.数学/统计相关专业.ETL开发经验
1-3年,本科,杭州,西湖区,高新文教区,15,30K·16薪,每日互动,分布式技术.系统集成工程师
1-3年,本科,杭州,西湖区,黄龙,12,22K·14薪,百世快递总部,Hive.Spark.Hbase.计算机相关专业.大数据开发经验.clickhouse
3-5年,本科,杭州,西湖区,西溪,20,40K·15薪,涂鸦智能,Java.Scala.Spark.Kafka.Hadoop.HDFS.Flink.Druid
1-3年,本科,杭州,西湖区,西溪,40,60K·14薪,数巅科技有限公司,Scala.Hadoop.Kafka.HDFS.MapReduce.Flink
3-5年,本科,杭州,西湖区,学院路,13,20K·13薪,数政科技,Spark.Flink.大数据开发经验.引擎.源码.开源
3-5年,本科,杭州,西湖区,文二路,10,15K·13薪,悦芯科技,Hadoop.大数据运维.数据治理
3-5年,本科,杭州,西湖区,文二路,12,17K,勒芒科技,数据仓库.数据分析
3-5年,本科,杭州,萧山区,萧山新城区,20,35K,量知数据,Java.Python.Spark
3-5年,本科,杭州,西湖区,转塘,12,15K,法本,数据架构.数据仓库.Hadoop
1-3年,本科,杭州,拱墅区,石祥路,18,23K·14薪,顺丰速运有限公司,自动化测试.Java.Python.MySQL.kafka.spark
3-5年,本科,杭州,滨江区,长河,14,22K,中控信息,Spark.Hadoop.Kafka.Storm.HDFS.MapReduce.Hbase.Streaming
3-5年,本科,杭州,拱墅区,西湖,16,25K·13薪,浙江交盟科技有限公司,Java.Spark.Kafka.Hadoop.Yarn.Presto.Streaming.HDFS
3-5年,本科,杭州,余杭区,仓前,20,40K·15薪,奇点云,大数据开发经验
3-5年,本科,杭州,上城区,近江,11,18K,海南钦诚,SQL.Java.Yarn.Flink
3-5年,本科,杭州,余杭区,仓前,15,25K,同盾信研科技,银行.大数据.数仓
经验不限,本科,杭州,滨江区,西兴,20,40K,曹操出行,数据架构.数据库.数据处理
3-5年,本科,杭州,滨江区,浦沿,20,21K·14薪,浙江中控,Spark.Hadoop.Impala.HIVE.Flink.java.hbase.clickhouse
3-5年,本科,杭州,临安区,青山,15,25K,所托瑞安,Java.Python.Spark.Kafka
经验不限,本科,杭州,余杭区,仓前,11,20K·13薪,浙江达摩网络科技...,数据仓库.数据开发
3-5年,本科,杭州,余杭区,仓前,10,15K,杭州齐智科技有限公司,Spark.HIVE.Flink.Python.Java.Scala
经验不限,硕士,杭州,,,35,65K·15薪,某大型企业服务公司,计算机相关专业.大数据开发经验
3-5年,本科,杭州,,,15,25K,某知名交通公司,Java.Hive.Spark.ETL开发经验.大数据开发经验.数仓建设经验
1-3年,本科,杭州,西湖区,文新,9,14K,新华智云科技有限公司,Spark.Hive.Hbase.大数据开发经验.数据治理
经验不限,本科,杭州,萧山区,北干,15,30K,智臾科技,Java.SQL.计算机相关专业
经验不限,本科,杭州,,,50,80K·16薪,某大型知名互联网公司,Java.Python
3-5年,本科,杭州,拱墅区,万达广场,15,20K·13薪,浙江托普云农,大数据开发经验.数仓建设经验
1-3年,本科,杭州,滨江区,西兴,11,20K,博思远望,Java.SQL.Shell.ETL开发经验.计算机相关专业.大数据开发经验
3-5年,本科,杭州,,,15,25K·14薪,联通浙江产业互联网,Python.Java.Shell.Spark.Kafka.HIVE.Kylin.Flink
5-10年,本科,杭州,西湖区,西溪,25,35K,微店,SQL.Python.Shell.Scala.Spark.HDFS.Yarn.HIVE
5-10年,本科,杭州,西湖区,文三路,13,26K,三体科技,Java.Hadoop.Spark
3-5年,本科,杭州,拱墅区,上塘,12,24K,银科思成,Python.Tableau.数据分析/挖掘经验.数学/统计相关专业.金融行业数据相关经验
5-10年,本科,杭州,余杭区,仓前,28,35K,行云集团,SQL.Python.Java.Scala.Spark.Hadoop.Kafka.oracle
3-5年,本科,杭州,滨江区,浦沿,30,45K·15薪,杭州炎魂网络,Java.数仓建设经验
5-10年,本科,杭州,,,20,30K,漋海,Olap.clickhouse.Iceberg.Flink.HDFS.hadoop
3-5年,本科,杭州,,,20,21K·13薪,白心科技,Java.Flink.Spark.大数据开发经验.数仓建设经验.分布式关系型数据库.跨境电商类app
3-5年,本科,杭州,滨江区,西兴,11,21K,易诚高科,数仓建设经验
10年以上,本科,杭州,,,55,75K·20薪,某500强上市公司,PowerBI.SQL.数学/统计相关专业.计算机相关专业.QuickBI.HiveSQL.forbid
3-5年,本科,杭州,滨江区,长河,15,25K,上行创盈,大数据
5-10年,本科,杭州,余杭区,瓶窑,15,16K,杭州伯猎,Java.Hive.Hbase.大数据开发经验
经验不限,本科,杭州,余杭区,西溪,15,30K,百数云,Java
3-5年,本科,杭州,滨江区,长河,12,16K·13薪,远程新能源商用车,Spark.Storm.Hadoop.Impala.Kylin.Flink.Druid
3-5年,本科,杭州,滨江区,长河,15,30K·14薪,吉利控股集团,Java.SQL.HIVE.Spark.Hadoop.MapReduce.Flink
经验不限,本科,杭州,萧山区,奥体中心,18,35K,玖青数科,Python.Shell.Hadoop.Impala.HDFS.Flink
3-5年,本科,杭州,萧山区,钱江世纪城,11,22K·13薪,坤茂,Flink.Kafka.Spark.大数据开发经验.ETL开发经验.计算机相关专业
3-5年,本科,杭州,余杭区,五常,15,30K,乌鸫科技,大数据开发经验
1-3年,硕士,杭州,萧山区,钱江世纪城,20,25K,浙江省北大信研院,SQL.计算机相关专业.ETL开发经验.大数据开发经验
5-10年,本科,杭州,,,20,40K,某知名银行上市公司,Java.Scala.Hive.大数据开发经验.数仓建设经验.ETL开发经验
经验不限,本科,杭州,,,15,30K,某知名交通公司,Flink.Spark.Java.Hadoop.Oracle.MySQL
5-10年,本科,杭州,西湖区,西溪,25,35K·14薪,微盛,Java.Python.计算机相关专业
3-5年,本科,杭州,余杭区,仓前,15,25K·13薪,晓富科技,Java.Kafka.大数据开发经验.数仓建设经验.ETL开发经验
1-3年,本科,杭州,,,20,30K,某大型知名银行上市公司,Java.Python.Shell.大数据开发经验.计算机相关专业.ETL开发经验
1-3年,本科,杭州,余杭区,仓前,13,20K,首新网络,SQL
3-5年,本科,杭州,萧山区,北干,20,40K,精麒科技,Java.Kafka.计算机相关专业.大数据开发经验.数仓建设经验
经验不限,本科,杭州,,,25,50K·16薪,某大型互联网上市集团公司,Shell.SQL
3-5年,本科,杭州,,,25,50K·13薪,某500强上市公司,Java.Kafka.Hbase
经验不限,本科,杭州,滨江区,长河,15,30K,三悦科技,自动驾驶
3-5年,本科,杭州,拱墅区,建国路,20,40K,杭银消金,Java.计算机相关专业.大数据开发经验.数仓建设经验
3-5年,本科,杭州,,,15,25K,某知名交通公司,Python.SQL.Flink.计算机相关专业.大数据开发经验
3-5年,本科,杭州,萧山区,北干,18,28K,卓罡咨询,Java.大型国企
3-5年,本科,杭州,,,20,30K,某知名证券上市公司,Python
经验不限,本科,杭州,,,15,25K,某知名其他行业上市公司,SQL.Hbase.Spark
3-5年,本科,杭州,余杭区,五常,25,50K·16薪,LAZADA,大数据开发经验
3-5年,本科,杭州,西湖区,西溪,15,30K,传易支付,Hive.Spark.Hbase
3-5年,本科,杭州,萧山区,钱江世纪城,12,21K,邦睿科技,SQL.Python.Scala.Spark.Hadoop.Kafka.HDFS.Flume
5-10年,本科,杭州,滨江区,长河,25,30K,华橙网络,SQL.大数据开发经验
1-3年,本科,杭州,余杭区,仓前,18,30K·13薪,艺客网络,Java.Kafka.Spark.Flink.Python.MapReduce
经验不限,本科,杭州,,,40,60K·16薪,某500强上市公司,Spark.Hadoop.Kafka.Storm.Flume.HIVE.Flink
1-3年,本科,杭州,滨江区,长河,13,18K,网安信创,Java.Spark.Flink.大数据开发经验.数仓建设经验.大数据平台开发
3-5年,本科,杭州,滨江区,浦沿,15,28K·14薪,陀曼,Flink.Java.Scala.计算机相关专业.数学/统计相关专业.大数据开发经验
经验不限,本科,杭州,余杭区,仓前,13,16K·13薪,两氢一氧,SQL.Python.Java.Shell.Spark.Hadoop.Hbase.Flink
3-5年,本科,杭州,余杭区,仓前,12,20K·13薪,杭州砺玛科技,Python.Flink.Java.大数据开发经验.数仓建设经验.计算机相关专业
3-5年,大专,杭州,滨江区,浦沿,12,24K,医康慧联,数据仓库.数据开发.车联网.分布式技术.Hadoop.Spark.HDFS.hbase
5-10年,本科,杭州,,,35,60K,某知名证券上市公司,对企业/机构（ToB）销售经验.互联网/科技.医疗/大健康.软件/企业服务产品
3-5年,本科,杭州,滨江区,长河,18,19K,火石创造,Spark.Hive.SQL.大数据开发经验.数仓建设经验.Hadoop.数据报表
经验不限,本科,杭州,滨江区,长河,12,22K·14薪,新华三技术有限公司,Python.Java.Spark
5-10年,本科,杭州,萧山区,宁围,20,40K,数链科技,Java.大数据开发经验.网络.运维领域开发.SDN.Flink
1-3年,本科,杭州,西湖区,西湖,20,40K·16薪,饿了么,Python.Java.Flink.Hbase.Sqoop.Oozie.Spark.HIVE
3-5年,硕士,杭州,,,25,35K·18薪,某大型互联网金融公司,Python.SQL.Flink
3-5年,本科,杭州,上城区,九堡金海城,12,18K,清大视光,大数据
3-5年,本科,杭州,余杭区,仓前,15,25K,悉望数智,数据仓库.数据开发
3-5年,本科,杭州,西湖区,文二路,20,35K,柏育科技,数据开发.hadoop.DSS
3-5年,本科,杭州,临平区,临平,12,18K,杭州耀杰,Flink.Java.Hive.计算机相关专业.大数据开发经验.数仓建设经验
3-5年,本科,杭州,滨江区,长河,12,18K,拓保软件,大数据.Hbase.Kylin.Hadoop.Java.袋鼠云、数澜科技
3-5年,本科,杭州,西湖区,黄龙,13,25K,聚量矩阵,SQL.Spark.Hive.大数据开发经验.数仓建设经验.计算机相关专业
5-10年,本科,杭州,滨江区,长河,15,25K·14薪,玖欣物联,SQL.Spark.Flink.数学/统计相关专业.大数据开发经验.数仓建设经验.ETL.数据治理.模型设计
3-5年,本科,杭州,西湖区,文二路,25,50K·16薪,得物App,数据分析.数据库
3-5年,本科,杭州,,,25,40K·13薪,某互联网公司,Spark.Storm.Flink.大数据分析.安全大数据.blink.安全运营中心
5-10年,本科,杭州,,,40,60K·16薪,某知名交通公司,大数据.区块链
5-10年,本科,杭州,萧山区,钱江世纪城,12,18K,上海艾艺信息技术公司,Hive.Java.大数据开发经验.计算机相关专业
3-5年,本科,杭州,西湖区,黄龙,15,20K,上海佩琪集团,大数据运维.k8s.docker
3-5年,本科,杭州,滨江区,西兴,15,25K·13薪,杭州龙即,Kafka.Java.Python.大数据开发经验.Hadoop
经验不限,本科,杭州,,,15,20K·13薪,某企业服务公司,大数据开发经验.Java.数据开发.数据存储.数据仓库
3-5年,本科,杭州,滨江区,浦沿,12,16K,慧安金科,Hive.SQL.Flink.大数据开发经验.数仓建设经验.Oracle
3-5年,本科,杭州,拱墅区,文一路,20,30K·14薪,酷家乐,Java.Python.Spark
5-10年,本科,杭州,,,20,30K,某知名银行上市公司,Java
10年以上,本科,杭州,,,80,110K·16薪,某大型互联网公司,Flink.SQL.Spark.大数据开发经验.实时数据计算.架构设计.银行.金融行业
3-5年,本科,杭州,余杭区,五常,20,30K·15薪,门链科技,Storm.Hadoop.Flink
5-10年,本科,杭州,西湖区,西溪,35,40K,爱逛,Shell.SQL.Impala.MapReduce.HDFS.Spark.Flink
3-5年,本科,杭州,临安区,锦城,20,35K·15薪,蔚蓝创造,Java.Hive.Flink
5-10年,本科,杭州,拱墅区,三塘,15,25K,容量科技,大数据开发经验
3-5年,本科,杭州,余杭区,仓前,25,40K,阿里健康,计算机相关专业.大数据开发经验
3-5年,硕士,杭州,临平区,塘栖,20,40K,浙大高端装备研究院,Java.Spark.MapReduce.HIVE.Hbase.DataX.Yarn
3-5年,本科,杭州,,,25,35K·16薪,某500强上市公司,Java.Python.Spark.计算机相关专业.大数据开发经验
3-5年,本科,杭州,上城区,四季青,13,20K,蒲惠智造,Java.Spark.大数据开发经验
3-5年,本科,杭州,西湖区,西溪,14,28K,柏桔科技,数仓建设经验.故障演练.大数据基础平台.开发运维
3-5年,本科,杭州,,,30,60K,某知名移动互联网公司,Python.Scala.Spark.Hadoop.Flink
3-5年,本科,杭州,余杭区,五常,20,30K,中国移动杭州研发中心,Flink.Spark.Hbase.计算机相关专业.数学/统计相关专业.大数据开发经验
3-5年,本科,杭州,西湖区,文二路,13,25K,浙江数智上行科技发展有限公司,Java.Hive.Spark.计算机相关专业.大数据开发经验.图数据库
5-10年,本科,杭州,余杭区,仓前,25,35K·17薪,聚水潭,Python.Java.Spark.Hadoop.HIVE.Kylin.Presto.Flink
3-5年,本科,杭州,,,20,21K,某企业服务公司,SQL.Java.Scala.Python.HIVE.Flink.MapReduce
3-5年,本科,杭州,西湖区,翠苑,10,15K,五疆发展,Flink.Hive.数仓建设经验
经验不限,本科,杭州,余杭区,五常,30,60K·15薪,北京有竹居网络,SAPHANA.HANA.BI
3-5年,硕士,杭州,西湖区,古荡,22,25K·15薪,天慧蓝,Spark.Hadoop
3-5年,本科,杭州,西湖区,西溪,20,30K·14薪,传易互联,大数据开发经验.Python
5-10年,本科,杭州,,,30,50K·15薪,某大型数据服务公司,Java.Kafka.Flink.计算机相关专业.大数据开发经验
经验不限,本科,杭州,,,24,40K·15薪,某移动互联网公司,Java.Spark.Storm.Hadoop.Flink
3-5年,本科,杭州,,,15,25K,某企业服务公司,Java.Python.Scala.Impala
1-3年,本科,杭州,,,20,40K·14薪,同盾科技,Hive.SQL.Flink.大数据开发经验.电商项目
3-5年,本科,杭州,,,25,50K·15薪,某大型电子商务公司,数据开发.数据分析.Hive.Hbase知识图谱
3-5年,本科,杭州,西湖区,翠苑,20,35K·14薪,广通优云,Java.Python.Scala.Hadoop.Flink.HIVE.Spark.Hbase
3-5年,本科,杭州,西湖区,西溪,20,30K·13薪,讯盟科技,Flink.kafka.es
5-10年,本科,杭州,,,25,40K·13薪,某大型知名计算机软件上市公司,Java.大数据开发经验.计算机相关专业.ETL开发经验
3-5年,本科,杭州,余杭区,五常,17,30K,杭州极术科技有限公司,Java.Python.Shell.Scala.Spark.Hadoop
3-5年,本科,杭州,滨江区,长河,12,15K,云为科技,Python.SQL.Hbase.大数据开发经验.数仓建设经验.ETL开发经验
5-10年,本科,杭州,西湖区,高新文教区,15,25K,创云一智科技,Java.Spark.Hive.大数据开发经验
经验不限,本科,杭州,余杭区,五常,30,50K,北京字节跳动,计算机相关专业.大数据开发经验.dataworks
3-5年,本科,杭州,西湖区,黄龙,12,20K·13薪,摩数科技,Java.计算机相关专业.大数据开发经验.EMR.JVM.IoC、AOP
3-5年,本科,杭州,,,20,30K·14薪,某大型移动互联网公司,SQL.Hive.Spark.计算机相关专业.数学/统计相关专业.大数据开发经验.数据中台建设经验.数学基础较好.有一些运筹学.机器学习项目实践
3-5年,本科,杭州,余杭区,仓前,12,24K·13薪,顶信科技,Java.Spark.Flink.大数据开发经验.计算机相关专业.linux.shell.MRS
3-5年,本科,杭州,余杭区,未来科技城,25,40K·16薪,阿里旅行,Python.Spark.Hadoop.Flink.Kafka.Kettle.DataX
1-3年,本科,杭州,拱墅区,朝晖,12,20K·14薪,浮云科技,Java.Spark.Flink.计算机相关专业.大数据开发经验
3-5年,本科,杭州,滨江区,浦沿,18,30K·14薪,蓝卓数字科技有限公司,Spark.Flink.hadoop.爬虫框架.反爬机制
3-5年,博士,杭州,,,70,100K,某500强上市公司,数仓建设经验.Java.大数据开发经验.Hadoop.Kafka.HDFS.Flink
3-5年,本科,杭州,余杭区,仓前,17,25K,一喂顺风车,脑影像智能分析算法.多模态脑影像智能分析
3-5年,本科,杭州,余杭区,仓前,25,40K,快手,Kafka.Kettle.Hive.ETL开发经验.大数据开发经验
经验不限,本科,杭州,,,55,70K·15薪,某大型数据服务公司,Python.Spark.Storm.Kafka.Hadoop.Flink.Druid
3-5年,本科,杭州,萧山区,钱江世纪城,13,20K·13薪,新唐信通,分布式系统.架构设计.模型建设.TOB
3-5年,硕士,杭州,,,20,30K·14薪,某知名证券上市公司,数据开发.Kafka.Flink.Java
5-10年,本科,杭州,,,40,60K·16薪,某500强上市公司,Java.计算机相关专业.大数据开发经验.数仓建设经验
3-5年,本科,杭州,,,20,40K,某知名证券上市公司,Java.大数据开发经验.大数据平台开发.分布式系统架构.大数据研发平台
5-10年,本科,杭州,,,30,35K·14薪,某知名电子商务公司,大数据开发
3-5年,本科,杭州,萧山区,宁围,18,30K·14薪,新蓝传媒,Java.Python.Shell.数据建模ETL
3-5年,本科,杭州,,,30,40K,某500强上市公司,Kettle.Python.ETL开发经验
1-3年,本科,杭州,余杭区,五常,25,40K·16薪,阿里巴巴集团,数据分析R/Python.Hadoop.机器学习
3-5年,本科,杭州,余杭区,五常,20,40K,随训通电子,SQL.大数据开发经验
3-5年,本科,杭州,,,20,21K·13薪,某企业服务公司,Hive.Kafka.Flink.计算机相关专业.大数据开发经验.数仓建设经验
3-5年,本科,杭州,,,30,60K·16薪,某知名互联网上市公司,有海量数据处理.实时数据计算
3-5年,本科,杭州,滨江区,长河,20,40K·15薪,海亮教育科技集团,Python.SQL.ETL开发经验
5-10年,本科,杭州,,,23,35K·13薪,某500强上市公司,SQL.Hive.Spark
5-10年,本科,杭州,,,15,25K,某知名银行公司,Flink.Spark.Hadoop
3-5年,本科,杭州,滨江区,长河,15,25K·13薪,桑豆信息科技,Hbase.Spark.Python.大数据开发经验.Hadoop.团队管理经验
3-5年,本科,杭州,,,15,26K·14薪,某大型移动互联网上市公司,Hive.Spark.Flink.大数据开发经验
5-10年,本科,杭州,,,30,60K·16薪,某国内知名互联网金融公司,离线和实时数据.flink.SPark
5-10年,本科,杭州,西湖区,西溪,20,21K,菜鸟网络,Spark.Kafka.Hadoop.Kylin.Flink
3-5年,硕士,杭州,,,40,70K,某计算机软件公司,数据仓库.Java.分布式技术.Spark.大数据
经验不限,本科,杭州,余杭区,五常,30,45K·16薪,阿里巴巴集团,Java.Python.Hive.ETL开发经验.数据仓储.数据工作流
5-10年,本科,杭州,,,20,40K,某大型知名互联网公司,数据仓库.数据处理.数据架构
3-5年,本科,杭州,,,21,35K,某人力资源服务公司,计算机相关专业.大数据开发经验
3-5年,本科,杭州,余杭区,五常,20,35K·16薪,达来赞,Hadoop.Shell.海量.智慧.阿里云.dataworks.Python.oracle
3-5年,本科,杭州,拱墅区,西湖,15,20K·13薪,时光协同软件,Hive.Spark.Flink.计算机相关专业.大数据开发经验.数仓建设经验.英语口语能力要求较高
5-10年,本科,杭州,,,15,25K·14薪,某知名智能硬件公司,数学/统计相关专业.数仓建设经验
5-10年,本科,杭州,钱塘区,工业园南,15,30K,可莎蜜儿,Hive.Spark.大数据开发经验.数仓建设经验.数据仓库.hadoop.8年以上
经验不限,大专,长沙,开福区,松桂园,7,9K,慧天下,Python.大数据开发经验.数仓建设经验.数学/统计相关专业.MySQL
,本科,长沙,开福区,烈士公园,200,400元/天,阿里巴巴集团,Excel
经验不限,大专,长沙,岳麓区,咸嘉湖,3,5K,湖南旭佳,SQL.Hive.Flink.大数据开发经验.数仓建设经验.ETL开发经验
经验不限,大专,长沙,岳麓区,麓谷,4,8K,微趣科技,Java.计算机相关专业.大数据开发经验
经验不限,大专,长沙,雨花区,雨花亭,5,10K,恒电科技,互联网/科技.企业服务.企业（ToB）
1-3年,大专,长沙,岳麓区,麓谷,5,9K·13薪,长沙博量,SQL.Java
经验不限,大专,长沙,开福区,四方坪,3,6K,兴导,SQL.Python.Scala.Spark
3-5年,大专,长沙,岳麓区,市政府,5,8K,湖南汇海数据,大数据.人工智能.云计算
经验不限,大专,长沙,岳麓区,麓谷,4,9K,六星教育,系统运维.Linux.安全运维.ELK
3-5年,大专,长沙,长沙县,星城国际,10,14K,上海思芮,爬虫.py.Python.计算机相关专业.数学/统计相关专业.大数据
经验不限,本科,长沙,岳麓区,麓谷,2,4K,湖南智擎,Flink.Spark.Flinksql
,本科,长沙,岳麓区,麓谷,150,200元/天,Anker,Java.网络爬虫技术.Linux.scala.分布式技术.大数据.Python
1-3年,本科,长沙,岳麓区,麓谷,7,10K,九鼎图业,功能测试.Python.MySQL.计算机相关专业.大数据测试
在校/应届,本科,长沙,岳麓区,麓谷,15,21K,兴盛优选,Java.Python.Scala.大数据开发经验.数仓建设经验.ETL开发经验
经验不限,大专,长沙,雨花区,武广高铁,4,8K,长沙勤业税务师事务所,Java.Python.Hive.计算机相关专业.数仓建设经验.大数据开发经验
在校/应届,大专,长沙,开福区,开福万达,5,8K,湖南长城有限责任...,代理记账公司.集团公司.税务筹划.税收返还.大数据.房地产/建筑.电信通讯.中级会计师
1-3年,大专,长沙,芙蓉区,韭菜园,7,12K,杭州泰师科技有限公司,制造业.财务审计.金蝶.外部审计.审计专员.用友.金融.大数据
1-3年,大专,长沙,芙蓉区,烈士公园,7,11K,浩瀚深度,Redis.Nginx.Linux.shell.ELK
3-5年,大专,长沙,岳麓区,麓谷,12,18K,承希科技,Python/Shell.计算机相关专业.大数据运维经验.运维经验.linux.Hadoop运维经验
3-5年,学历不限,长沙,开福区,国际会展中心,10,15K·13薪,芒果tv,计算机/网络系统工程师.通信/工程相关专业.计算机相关专业.Linux运维经验.HCIE
经验不限,大专,长沙,雨花区,圭塘,8,13K,飞戈数字,Kafka.Hive.Spark.ETL开发经验
1-3年,大专,长沙,雨花区,雨花亭,4,7K,星耀科技,C++.物联网.大数据.Python.Java.UE4.U3D.C#
3-5年,本科,长沙,芙蓉区,韭菜园,9,14K,湖南电信数智公司,运维.Linux.解决方案.云计算.Shell.网络协议.虚拟机技术.MySQL
经验不限,中专/中技,长沙,,,4,7K,湖南星电会数字科技,计算机相关专业.通信/工程相关专业.HCIE
1-3年,大专,长沙,长沙县,大众传媒,8,13K,牧森,数据标注.图片.地图.全职工作
1年以内,大专,长沙,天心区,云塘理工,3,6K,中测宏图,SQL.大数据开发经验.数仓建设经验.大数据.帆软report
3-5年,大专,长沙,芙蓉区,五里牌,6,8K,湖南华恒科教,地图数据采集工程师.适应外出作业/出差
1-3年,大专,长沙,岳麓区,洋湖垸,4,6K,湖南心师教育,实施交付运维
1-3年,大专,长沙,岳麓区,麓谷,8,13K·13薪,长沙鲤小胖旅游咨...,数学/统计相关专业
经验不限,本科,长沙,岳麓区,麓谷,10,15K,中科云谷,大数据产品.市场调研.产品设计.用户研究.数据分析.中台产品
3-5年,博士,长沙,,,20,40K·18薪,某500强上市公司,SQL.数学/统计相关专业.计算机相关专业.数据分析/挖掘经验
在校/应届,本科,长沙,天心区,省政府,10,15K,数梦工场,工业背景.机器学习
3-5年,大专,长沙,岳麓区,岳麓大学城,20,22K,讯锡科技,产品咨询.技术沟通
1-3年,大专,长沙,开福区,四方坪,5,10K,安络科技,智慧城市信息化项目.可适应出差.智慧城市.大数据
经验不限,中专/中技,长沙,,,3,6K,景优科技,SQL.Excel.大数据.Python
3-5年,大专,长沙,长沙县,星城国际,12,18K,牛数科技,全职工作.标注结果抽查.标注结果整理.数据标注.图片标注.文本标注.语音标注.描点标注.分类标注.标框标注.接受加班.数据分析能力强
经验不限,大专,长沙,开福区,北辰三角洲,3,4K,菁锐艾媒,SQL.Spark.HIVE.Python.FineReport（帆软）.Flink
3-5年,大专,长沙,岳麓区,银盆岭,12,20K,慧门信息,爬虫.py.大数据.数据分析
经验不限,学历不限,长沙,芙蓉区,定王台,20,21K,正融创服,Flink.Java.SQL.大数据开发经验
1-3年,大专,长沙,开福区,开福万达,5,8K,汇云博图,分布式技术.负载均衡技术.Socket技术.算法基础.大数据.网络安全.SaaS.IM通讯
经验不限,大专,长沙,,,18,30K,某大型电子商务公司,SQL.Python.大数据
1-3年,硕士,长沙,岳麓区,岳麓大学城,10,14K,中南大学,大数据处理经验
1-3年,本科,长沙,芙蓉区,定王台,15,25K,茶颜悦色,深度学习算法.视觉图像算法.大数据
